,name,distance,mass,radius
2MASS J02431371−2453298,33,35,0.99
LP 771-21,78,53,1.08
2MASS J02511327+0047364,,,
Teegarden's star,80,12.578,1.27
2MASS J02535980+3206373,65,184,1.9
WISE J0254+0223,65,24,1.9
DEN 0255-4700,80,16.2,0.97
2MASS J03185403-3421292 [de],49,45,0.97
2MASS J03205965+1854233,88,47,1.15
2MASS J03231002-4631237,23,192,1.66
SDSS J032553.17+042540.1,45,59,0.95
2MASS J03264225-2102057 [de],18,80,1.3
2MASS J03284265+2302051 [de],54,98,0.98
2MASS J03341218-4953322,73,27.0,1.04
LP 944-20,73,20.9,1.43
2MASP J0345432+254023,74,88,1.05
Teide 1,55,380,3.78
2MASS J03510004-0052452,102,48,1.27
2MASS J03552337+1133437,20,29.8,1.32
DENIS-P J035726.9-441730 [de],,130,
2MASS J04151954−0935066,30,18.6,0.95
SDSSp J042348.57-041403.5 [de],,50,
2MASS J04285096-2253227 [de],80,85,1.09
2MASS J04351612-1606574,100,34,1.26
2MASS J04362788-4114465,39,142,1.97
2MASS J04390101-2353083 [de],48,29.5,0.97
2MASS J04414489+2301513,19,470,
2MASS J04433764+0002040,22,82,1.78
2MASS J04455387-3048204 [de],64,42,1.00
2MASS J04510093-3402150 [de],1.04,69,72
2MASS J05002100+0330501 [de],64,44,1.00
2MASS J05012406-0010452 [de],21,64,1.38
2MASS J05160945-0445499 [de],47,73,0.97
2MASS J0523−1403,68,40,1.01
2MASS 0532+8246,83,81,
SDSS J053951.99-005902.0,61,41.62,1.01
2MASS J05591914-1404488 [de],,34,
LSR 0602+3910 [de],28,34.6,1.41
2MASS J06085283-2753583,38,102,1.51
WISEP J061135.13-041024.0A,65,69,
WISEP J061135.13-041024.0B,53,69,
2MASS J06244595-4521548 [de],56,39,0.99
2MASS J06411840-4322329 [de],67,65,1.01
DENIS-P J0652197-253450 [de],75,51,1.05
2MASS J07003664+3157266 [de],,40,
2MASS J07075327-4900503,72,60,1.03
UGPS J072227.51-054031.2,26,13.4,0.98
2MASSI J0727182+171001 [de],41,29.6,0.94
2MASS J07290002-3954043 [de],37,25.8,0.94
SDSS J074201.41+205520.5 [de],43,49,0.94
2MASS J0746425+200032 [fr],,49.6,
DENIS-P J0751164-253043 [de],71,55,1.03
2MASS J07522390+1612157,2.01,60,68
DENIS J081730.0-615520,44,16.1,0.94
DENIS J082303.1−491201A,44,67,
DENIS J082303.1−491201B,28,67,
2MASS J08251968+2115521 [de],52,35,0.98
SDSSp J083008.12+482847.4 [de],48,43,0.99
LHS 2021,88,55,1.15
SDSS J083048.80+012831.1 [de],46,77,0.96
2MASSI J0835425-081923 [de],62,23.53,1.00
2MASSI J0847287-153237 [de],64,43,1.00
2MASS J08533619-0329321,77,27.6,1.07
2MASSI J0859254-194926 [de],50,50,0.98
2MASSW J0920122+351742 [de],,95,
2MASSI J0937347+293142,42,20.0,0.94
2MASS 0939−2448,32,17.4,0.95
2MASS J09490860-1545485 [de],49,59,0.96
2MASS J10073369-4555147,44,46,0.94
2MASSI J1010148-040649 [de],51,55,0.98
2MASSI J1017075+130839 [de],,108,
SDSS J102109.69-030420.1,,95,
2MASS J10224821+5825453 [de],27,60,1.41
2MASSW J1036530-344138 [de],49,53,0.97
2MASS J1047538+212423 [de],42,34.4,0.94
DEN 1048-3956,77,13.15,1.07
Luhman 16B,43,6.516,1.02
Luhman 16A,40,6.516,1.01
DENIS-P J1058.7−1548,64,49,1.00
TWA 28,36,180,2.39
Cha 110913-773444,8,163,1.8
OTS 44,15,554,
SDSS J111010.01+011613.1,9,63,1.24
2MASS J11145133−2618235,33,18.2,0.96
TWA 26,30,137,2.20
2MASSW J1146345+223053,,89,
2MASS J11544223-3400390 [de],37,129,1.50
2MASSW J1155395-372735 [de],64,31,1.00
TWA 27A,,,
TWA 27B,,,
2MASS J12074836-3900043,17,217,1.71
2MASSI J1217110-031113 [de],42,36,0.94
2MASS J12255432-2739466,,43,
DENIS-P J1228.2-1547,,66,
2M 1237+6526,41,45.6,0.94
2MASSW J1239272+551537 [de],,119,
TWA 29,2.00,262,25
SDSSp J125453.90-012247.4 [de],47,38,0.98
Kelu-1A,63,61,0.98
Kelu-1B,58,61,0.98
2MASS J13204427+0409045,67,101,1.01
SDSSp J132629.82-003831.5 [de],51,65,0.97
SDSSp J134646.45-003150.4 [de],44,48,0.94
2MASS J13595510-4034582,63,51,1.00
ULAS J141623.94+134836.3,32,29.7,0.96
SDSS J141659.78+500626.4 [de],59,149,0.99
DENIS-P J142527.97-365023.4 [de],21,38,1.32
LHS 2924,76,38.5,1.06
2MASS J14392837+1929150,72,47,1.03
LSPM J1440+1339,92,72,1.19
2MASS J14482563+1031590 [de],59,47,0.99
CFBDSIR 1458+10A,11.1,104,1.5
CFBDSIR 1458+10B,9,104,1.3
TVLM 513-46546,75,35.1,1.05
2MASS 1503+2525,44,20.7,0.94
CFBDS J150411+102717,44,71,0.94
2MASSW J1506544+132106 [de],69,46,1.02
2MASS 1507−1627,60,23.9,0.99
TVLM 868-110639,79,53,1.08
SDSS J151114.66+060742.9 [de],,89,
2MASSW J1515008+484742 [de],57,34,0.99
2MASSI J1526140+204341 [de],54,67,0.98
DENIS-P J153941.96-052042.4 [de],63,51,1.00
2MASS J15462718-3325111 [de],44,37,0.94
2MASSW J1552591+294849 [de],30,68,1.43
2MASSW J1555157-095605 [de],71,44,1.03
2MASS J16150413+1340079 [de],42,48,0.94
SDSSp J162414.37+002915.6 [de],43,36,0.94
2MASS J16262034+3925190 [de],71,110,1.03
2MASSW J1632291+190441 [de],49,50,0.97
WISEPA J164715.59+563208.2,41,28,0.94
LSPM J1658+7027 [de],73,60,1.04
2MASSI J1726000+153819,24,114,1.40
2MASSW J1728114+394859,,79,
SDSSp J175032.96+175903.9,47,90,0.97
2MASS J18283572-4849046,45,39,0.95
LSR J1835+3259,77,18.5,1.07
2MASSW J1841086+311727,67,138,1.01
2MASS J18432213+4040209,96,46,1.22
2MASS J20004841-7523070,25,105,1.88
SDSS J204749.61-071818.3,46,65,0.96
2MASSI J2057540-025230,70,47,1.02
2MASSW J2101154+175658,,108,
2MASSI J2104149-103736,69,62,1.02
PSO J318.5−22,6.5,80,1.53
HB 2124-4228,94,113,1.21
2MASS J21392676+0220226,46,32.1,0.96
2MASS J21481628+4003593,55,26.3,0.99
2MASS J14112131-2119503,,,
2MASSW J2206450-421721,22,93,1.33
2MASSW J2208136+292121,27,154,1.41
2MASSW J2224438-015852,61,38,0.99
2MASS J22282889-4310262,42,35,0.94
2MASS J22373255+3922398,73,64,1.04
2MASSW J2244316+204343,12,56,1.29
2MASS J23224684-3133231,24,56,1.39
2MASS J23225299-6151275,17,148,1.59
2MASS J23515044-2537367,88,67,1.16
2MASSI J2356547-155310,80,74,1.09
WISE 0005+3737,,23.2,
WISE 0008-1739,,87.1,
WISE 0015-4615,,48.6,
WISE 0031-3840,,71.8,
WISE 0032-4946,,62.9,
WISE 0038+2758,,36.9,
WISE 0038+8405,,101.8,
WISE 0040+0900,,47.6,
WISE 0049+0441,,62.6,
WISE 0049+2151,,24.1,
WISE 0106+1518,,142.9,
WISE 0123+4142,,67.2,
WISE 0135+1715,,77.3,
WISE 0138-0322,,57.7,
WISE 0146+4234,,20.5,
WISE 0148-7202,,30,
WISE 0150+3827,,61.3,
WISE 0206+2640,,58.4,
WISE 0221+3842,,73.1,
WISE 0223-2932,,47,
WISE 0226-0211,,91,
WISE 0241-3653,,53.8,
WISE 0245-3450,,56.1,
WISE 0247+3725,,57.1,
WISE 0305+3954,,75,
WISE 0307+2904,,82.8,
WISE 0313+7807,,28,
WISE 0316+4307,,106.3,
WISE 0321-7347,,84.8,
WISE 0323-6025,,45.3,
WISE 0325-3854,,51.2,
WISE 0325+0831,,36.5,
WISE 0333-5856,,54.8,
WISE 0335+4310,,45.7,
WISE 0336-0143,,55.4,
WISE 0350-5658,,17.7,
WISE 0359-5401,,19.2,
WISE 0410+1502,6,20,1.17
WISE 0410+1411,,85.8,
WISE 0413-4750,,66.2,
WISE 0448-1935,,69.8,
WISE 0458+6434A,15,35.9,4.2
WISE 0458+6434B,10,35.9,3.8
WISE 0500-1223,,47,
WISE 0513+0608,,44.7,
WISE 0525+6739,,98.2,
WISE 0528-3308,,57.4,
WISE 0535-7500,,47,
WISE 0539-1034,,84.8,
WISE 0542-1628,,50.6,
WISE 0607+2429,,25.4,
WISE 0611-0410,,57.7,
WISE 0612-4920,,95.2,
WISE 0612-3036,,64.9,
WISE 0614+3912,,50.2,
WISE 0614+0951,,51.5,
WISE 0623-0456,,37.5,
WISE 0625+5646,,67.2,
WISE 0627-1114,,37.2,
WISE 0647-6232,,28,
WISE 0656+4205,,54.1,
WISE 0713-2917,,23.2,
WISE 0723+3403,,45.7,
WISE 0733+7544,,78.3,
WISE 0734-7157,,34.9,
WISE 0744+5628,,47.3,
WISE 0750+2725,,51.5,
WISE 0751-7634,,39.1,
WISE 0759-4904,,38.8,
WISE 0811-8051,,32,
WISE 0812+4021,,63.6,
WISE 0819-0335,,46,
WISE 0821+1443,,68.2,
WISE 0836-1859,,72.4,
WISE 0857+5604,,42.1,
WISE 0906+4735,,51.5,
WISE 0929+0409,,64.9,
WISE 0952+1955,,72.1,
WISE 1018-2445,,47.6,
WISE 1019+6529,,56.8,
WISE 1039-1600,,47.3,
WISE 1042-3842,,53.2,
WISE 1051-2138,,40.8,
WISE 1122+2550,,57.7,
WISE 1124-0421,,50.6,
WISE 1147-2040,,102,
WISE 1150+6302,,32.9,
WISE 1217+1626A,12,34.2,
WISE 1217+1626B,6,34.2,
WISE 1225-1013,,55.4,
WISE 1311+0122,,44.4,
WISE 1311+3629,,86.1,
WISE 1318-1758,,32.9,
WISE 1320+6034,,56.1,
WISE 1322-2340,,33.9,
WISE 1348+6603,,91,
WISE 1405+5534,30,25.3,0.86
WISE 1433-0837,,84.8,
WISE 1436-1814,,60,
WISE 1457+5815,,52.2,
WISE 1506+7027,,11.1,
WISE 1517+0529,,72.4,
WISE 1519+7009,,50.9,
WISE 1523+3125,,84.5,
WISE 1541-2250,,20,
WISE 1542+2230,,41.1,
WISE 1612-3420,,55.4,
WISE 1614+1739,,32.6,
WISE 1617+1807,,50.2,
WISE 1622-0959,,52.2,
WISE 1627+3255,,50.2,
WISE 1639-6847,,16.3,
WISE 1647+5632,,28,
WISE 1653+4444,,39.5,
WISE 1711+3500,,60.3,
WISE 1717+6129,,72.7,
WISE 1721+1117,,62.3,
WISE 1728+5716,,97.8,
WISE 1738+2732,,20,
WISE 1741+2553,,18.9,
WISE 1746-0338,,83.8,
WISE 1800+0134,57,28.7,
WISE 1804+3117,,30,
WISE 1809+3838,,74.4,
WISE 1812+2721,,47,
WISE 1828+2650,,36,
WISE 1830+4542,,107,
WISE 1841+7000,,131.1,
WISE 1852+3537,,55.4,
WISE 1906+4508,,51.5,
WISE 1928+2356,,22.8,
WISE 1952+7240,,44.4,
WISE 1959-3338,,37.2,
WISE 2030+0749,,34.2,
WISE 2014+0424,,96.2,
WISE 2015+6646,,50.6,
WISE 2018-7423,,47.9,
WISE 2019-1148,,42.4,
WISE 2056+1459,,24.5,
WISE 2134-7137,,42.7,
WISE 2157+2659,,61.6,
WISE 2209-2734,,46,
WISE 2213+0911,,58.7,
WISE 2220-3628,,26.4,
WISE 2226+0440,,45,
WISE 2237-0614,,53.5,
WISE 2237+7228,,46,
WISE 2239+1617,,59.7,
WISE 2255-3118,,44.7,
WISE 2301+0216,,60.7,
WISE 2313-8037,,35.9,
WISE 2319-1844,,52.2,
WISE 2325-4105,,37.5,
WISE 2327-2730,,70.8,
WISE 2335+4222,,90.3,
WISE 2340-0745,,37.8,
WISE 2342+0856,,51.2,
WISE 2343-7418,,48.6,
WISE 2344+1034,,46,
WISE 2348-1028,,54.1,
WISE 2357+1227,,54.8,
WISE 2359-7335,,42.7,
WISEA 1101+5400,,111,
2M1510,40 + 39 + ?,120,
name,distance,mass,radius
SDSS J000013.54+255418.6 [de],48,46.1,0.99
2MASS J00040288-6410358,19,192,1.63
LHS 102BC,,,
2MASS J00242463-0158201,79,37.7,1.09
2MASS J00250365+4759191AB,,143,
2MASS J00274197+0503417,31,236,1.44
2MASS J00275592+2219328,,46.9,
2MASSW J0030300-145033,54,87.2,0.98
2MASS J00332386-1521309 [de],29,131,1.43
2MASS J00345157+0523050,42,31,0.94
2MASS 0036+1821,42,28.6,0.94
2MASSW J0045214+163445,23,57,1.62
WISEP J004701.06+680352.1 [fr],12,40,1.3
2MASS J00501994-3322402 [de],40,34,0.94
2MASS J00034227-2822410,,,
2MASS J00584253-0651239 [de],29,96,1.43
CFBDS J005910.90–011401.3,23,30,
2MASSI J0103320+193536,52,70,0.98
SDSSp J010752.33+004156.1 [de],52,51,0.98
2MASSI J0117474-340325 [de],20,163,1.62
2MASS J01415823-4633574 [de],20,130,1.61
SDSS J015141.69+124429.6,47,70,0.97
DENIS-P J020529.0−115925A,,65,
DENIS-P J020529.0−115925B,,65,
DENIS-P J020529.0−115925C,,65,
SDSS J020742.48+000056.2 [de],47,111,0.97
2MASS J02103857-3015313,15,101,1.53
2MASS J02340093-6442068,20,155,1.62
2MASS J02411151-0326587 [de],27,152,1.41
2MASS J02431371−2453298,33,35,0.99
LP 771-21,78,53,1.08
2MASS J02511327+0047364,,,
Teegarden's star,80,12.578,1.27
2MASS J02535980+3206373,65,184,1.9
WISE J0254+0223,65,24,1.9
DEN 0255-4700,80,16.2,0.97
2MASS J03185403-3421292 [de],49,45,0.97
2MASS J03205965+1854233,88,47,1.15
2MASS J03231002-4631237,23,192,1.66
SDSS J032553.17+042540.1,45,59,0.95
2MASS J03264225-2102057 [de],18,80,1.3
2MASS J03284265+2302051 [de],54,98,0.98
2MASS J03341218-4953322,73,27.0,1.04
LP 944-20,73,20.9,1.43
2MASP J0345432+254023,74,88,1.05
Teide 1,55,380,3.78
2MASS J03510004-0052452,102,48,1.27
2MASS J03552337+1133437,20,29.8,1.32
DENIS-P J035726.9-441730 [de],,130,
2MASS J04151954−0935066,30,18.6,0.95
SDSSp J042348.57-041403.5 [de],,50,
2MASS J04285096-2253227 [de],80,85,1.09
2MASS J04351612-1606574,100,34,1.26
2MASS J04362788-4114465,39,142,1.97
2MASS J04390101-2353083 [de],48,29.5,0.97
2MASS J04414489+2301513,19,470,
2MASS J04433764+0002040,22,82,1.78
2MASS J04455387-3048204 [de],64,42,1.00
2MASS J04510093-3402150 [de],1.04,69,72
2MASS J05002100+0330501 [de],64,44,1.00
2MASS J05012406-0010452 [de],21,64,1.38
2MASS J05160945-0445499 [de],47,73,0.97
2MASS J0523−1403,68,40,1.01
2MASS 0532+8246,83,81,
SDSS J053951.99-005902.0,61,41.62,1.01
2MASS J05591914-1404488 [de],,34,
LSR 0602+3910 [de],28,34.6,1.41
2MASS J06085283-2753583,38,102,1.51
WISEP J061135.13-041024.0A,65,69,
WISEP J061135.13-041024.0B,53,69,
2MASS J06244595-4521548 [de],56,39,0.99
2MASS J06411840-4322329 [de],67,65,1.01
DENIS-P J0652197-253450 [de],75,51,1.05
2MASS J07003664+3157266 [de],,40,
2MASS J07075327-4900503,72,60,1.03
UGPS J072227.51-054031.2,26,13.4,0.98
2MASSI J0727182+171001 [de],41,29.6,0.94
2MASS J07290002-3954043 [de],37,25.8,0.94
SDSS J074201.41+205520.5 [de],43,49,0.94
2MASS J0746425+200032 [fr],,49.6,
DENIS-P J0751164-253043 [de],71,55,1.03
2MASS J07522390+1612157,2.01,60,68
DENIS J081730.0-615520,44,16.1,0.94
DENIS J082303.1−491201A,44,67,
DENIS J082303.1−491201B,28,67,
2MASS J08251968+2115521 [de],52,35,0.98
SDSSp J083008.12+482847.4 [de],48,43,0.99
LHS 2021,88,55,1.15
SDSS J083048.80+012831.1 [de],46,77,0.96
2MASSI J0835425-081923 [de],62,23.53,1.00
2MASSI J0847287-153237 [de],64,43,1.00
2MASS J08533619-0329321,77,27.6,1.07
2MASSI J0859254-194926 [de],50,50,0.98
2MASSW J0920122+351742 [de],,95,
2MASSI J0937347+293142,42,20.0,0.94
2MASS 0939−2448,32,17.4,0.95
2MASS J09490860-1545485 [de],49,59,0.96
2MASS J10073369-4555147,44,46,0.94
2MASSI J1010148-040649 [de],51,55,0.98
2MASSI J1017075+130839 [de],,108,
SDSS J102109.69-030420.1,,95,
2MASS J10224821+5825453 [de],27,60,1.41
2MASSW J1036530-344138 [de],49,53,0.97
2MASS J1047538+212423 [de],42,34.4,0.94
DEN 1048-3956,77,13.15,1.07
Luhman 16B,43,6.516,1.02
Luhman 16A,40,6.516,1.01
DENIS-P J1058.7−1548,64,49,1.00
TWA 28,36,180,2.39
Cha 110913-773444,8,163,1.8
OTS 44,15,554,
SDSS J111010.01+011613.1,9,63,1.24
2MASS J11145133−2618235,33,18.2,0.96
TWA 26,30,137,2.20
2MASSW J1146345+223053,,89,
2MASS J11544223-3400390 [de],37,129,1.50
2MASSW J1155395-372735 [de],64,31,1.00
TWA 27A,,,
TWA 27B,,,
2MASS J12074836-3900043,17,217,1.71
2MASSI J1217110-031113 [de],42,36,0.94
2MASS J12255432-2739466,,43,
DENIS-P J1228.2-1547,,66,
2M 1237+6526,41,45.6,0.94
2MASSW J1239272+551537 [de],,119,
TWA 29,2.00,262,25
SDSSp J125453.90-012247.4 [de],47,38,0.98
Kelu-1A,63,61,0.98
Kelu-1B,58,61,0.98
2MASS J13204427+0409045,67,101,1.01
SDSSp J132629.82-003831.5 [de],51,65,0.97
SDSSp J134646.45-003150.4 [de],44,48,0.94
2MASS J13595510-4034582,63,51,1.00
ULAS J141623.94+134836.3,32,29.7,0.96
SDSS J141659.78+500626.4 [de],59,149,0.99
DENIS-P J142527.97-365023.4 [de],21,38,1.32
LHS 2924,76,38.5,1.06
2MASS J14392837+1929150,72,47,1.03
LSPM J1440+1339,92,72,1.19
2MASS J14482563+1031590 [de],59,47,0.99
CFBDSIR 1458+10A,11.1,104,1.5
CFBDSIR 1458+10B,9,104,1.3
TVLM 513-46546,75,35.1,1.05
2MASS 1503+2525,44,20.7,0.94
CFBDS J150411+102717,44,71,0.94
2MASSW J1506544+132106 [de],69,46,1.02
2MASS 1507−1627,60,23.9,0.99
TVLM 868-110639,79,53,1.08
SDSS J151114.66+060742.9 [de],,89,
2MASSW J1515008+484742 [de],57,34,0.99
2MASSI J1526140+204341 [de],54,67,0.98
DENIS-P J153941.96-052042.4 [de],63,51,1.00
2MASS J15462718-3325111 [de],44,37,0.94
2MASSW J1552591+294849 [de],30,68,1.43
2MASSW J1555157-095605 [de],71,44,1.03
2MASS J16150413+1340079 [de],42,48,0.94
SDSSp J162414.37+002915.6 [de],43,36,0.94
2MASS J16262034+3925190 [de],71,110,1.03
2MASSW J1632291+190441 [de],49,50,0.97
WISEPA J164715.59+563208.2,41,28,0.94
LSPM J1658+7027 [de],73,60,1.04
2MASSI J1726000+153819,24,114,1.40
2MASSW J1728114+394859,,79,
SDSSp J175032.96+175903.9,47,90,0.97
2MASS J18283572-4849046,45,39,0.95
LSR J1835+3259,77,18.5,1.07
2MASSW J1841086+311727,67,138,1.01
2MASS J18432213+4040209,96,46,1.22
2MASS J20004841-7523070,25,105,1.88
SDSS J204749.61-071818.3,46,65,0.96
2MASSI J2057540-025230,70,47,1.02
2MASSW J2101154+175658,,108,
2MASSI J2104149-103736,69,62,1.02
PSO J318.5−22,6.5,80,1.53
HB 2124-4228,94,113,1.21
2MASS J21392676+0220226,46,32.1,0.96
2MASS J21481628+4003593,55,26.3,0.99
2MASS J14112131-2119503,,,
2MASSW J2206450-421721,22,93,1.33
2MASSW J2208136+292121,27,154,1.41
2MASSW J2224438-015852,61,38,0.99
2MASS J22282889-4310262,42,35,0.94
2MASS J22373255+3922398,73,64,1.04
2MASSW J2244316+204343,12,56,1.29
2MASS J23224684-3133231,24,56,1.39
2MASS J23225299-6151275,17,148,1.59
2MASS J23515044-2537367,88,67,1.16
2MASSI J2356547-155310,80,74,1.09
WISE 0005+3737,,23.2,
WISE 0008-1739,,87.1,
WISE 0015-4615,,48.6,
WISE 0031-3840,,71.8,
WISE 0032-4946,,62.9,
WISE 0038+2758,,36.9,
WISE 0038+8405,,101.8,
WISE 0040+0900,,47.6,
WISE 0049+0441,,62.6,
WISE 0049+2151,,24.1,
WISE 0106+1518,,142.9,
WISE 0123+4142,,67.2,
WISE 0135+1715,,77.3,
WISE 0138-0322,,57.7,
WISE 0146+4234,,20.5,
WISE 0148-7202,,30,
WISE 0150+3827,,61.3,
WISE 0206+2640,,58.4,
WISE 0221+3842,,73.1,
WISE 0223-2932,,47,
WISE 0226-0211,,91,
WISE 0241-3653,,53.8,
WISE 0245-3450,,56.1,
WISE 0247+3725,,57.1,
WISE 0305+3954,,75,
WISE 0307+2904,,82.8,
WISE 0313+7807,,28,
WISE 0316+4307,,106.3,
WISE 0321-7347,,84.8,
WISE 0323-6025,,45.3,
WISE 0325-3854,,51.2,
WISE 0325+0831,,36.5,
WISE 0333-5856,,54.8,
WISE 0335+4310,,45.7,
WISE 0336-0143,,55.4,
WISE 0350-5658,,17.7,
WISE 0359-5401,,19.2,
WISE 0410+1502,6,20,1.17
WISE 0410+1411,,85.8,
WISE 0413-4750,,66.2,
WISE 0448-1935,,69.8,
WISE 0458+6434A,15,35.9,4.2
WISE 0458+6434B,10,35.9,3.8
WISE 0500-1223,,47,
WISE 0513+0608,,44.7,
WISE 0525+6739,,98.2,
WISE 0528-3308,,57.4,
WISE 0535-7500,,47,
WISE 0539-1034,,84.8,
WISE 0542-1628,,50.6,
WISE 0607+2429,,25.4,
WISE 0611-0410,,57.7,
WISE 0612-4920,,95.2,
WISE 0612-3036,,64.9,
WISE 0614+3912,,50.2,
WISE 0614+0951,,51.5,
WISE 0623-0456,,37.5,
WISE 0625+5646,,67.2,
WISE 0627-1114,,37.2,
WISE 0647-6232,,28,
WISE 0656+4205,,54.1,
WISE 0713-2917,,23.2,
WISE 0723+3403,,45.7,
WISE 0733+7544,,78.3,
WISE 0734-7157,,34.9,
WISE 0744+5628,,47.3,
WISE 0750+2725,,51.5,
WISE 0751-7634,,39.1,
WISE 0759-4904,,38.8,
WISE 0811-8051,,32,
WISE 0812+4021,,63.6,
WISE 0819-0335,,46,
WISE 0821+1443,,68.2,
WISE 0836-1859,,72.4,
WISE 0857+5604,,42.1,
WISE 0906+4735,,51.5,
WISE 0929+0409,,64.9,
WISE 0952+1955,,72.1,
WISE 1018-2445,,47.6,
WISE 1019+6529,,56.8,
WISE 1039-1600,,47.3,
WISE 1042-3842,,53.2,
WISE 1051-2138,,40.8,
WISE 1122+2550,,57.7,
WISE 1124-0421,,50.6,
WISE 1147-2040,,102,
WISE 1150+6302,,32.9,
WISE 1217+1626A,12,34.2,
WISE 1217+1626B,6,34.2,
WISE 1225-1013,,55.4,
WISE 1311+0122,,44.4,
WISE 1311+3629,,86.1,
WISE 1318-1758,,32.9,
WISE 1320+6034,,56.1,
WISE 1322-2340,,33.9,
WISE 1348+6603,,91,
WISE 1405+5534,30,25.3,0.86
WISE 1433-0837,,84.8,
WISE 1436-1814,,60,
WISE 1457+5815,,52.2,
WISE 1506+7027,,11.1,
WISE 1517+0529,,72.4,
WISE 1519+7009,,50.9,
WISE 1523+3125,,84.5,
WISE 1541-2250,,20,
WISE 1542+2230,,41.1,
WISE 1612-3420,,55.4,
WISE 1614+1739,,32.6,
WISE 1617+1807,,50.2,
WISE 1622-0959,,52.2,
WISE 1627+3255,,50.2,
WISE 1639-6847,,16.3,
WISE 1647+5632,,28,
WISE 1653+4444,,39.5,
WISE 1711+3500,,60.3,
WISE 1717+6129,,72.7,
WISE 1721+1117,,62.3,
WISE 1728+5716,,97.8,
WISE 1738+2732,,20,
WISE 1741+2553,,18.9,
WISE 1746-0338,,83.8,
WISE 1800+0134,57,28.7,
WISE 1804+3117,,30,
WISE 1809+3838,,74.4,
WISE 1812+2721,,47,
WISE 1828+2650,,36,
WISE 1830+4542,,107,
WISE 1841+7000,,131.1,
WISE 1852+3537,,55.4,
WISE 1906+4508,,51.5,
WISE 1928+2356,,22.8,
WISE 1952+7240,,44.4,
WISE 1959-3338,,37.2,
WISE 2030+0749,,34.2,
WISE 2014+0424,,96.2,
WISE 2015+6646,,50.6,
WISE 2018-7423,,47.9,
WISE 2019-1148,,42.4,
WISE 2056+1459,,24.5,
WISE 2134-7137,,42.7,
WISE 2157+2659,,61.6,
WISE 2209-2734,,46,
WISE 2213+0911,,58.7,
WISE 2220-3628,,26.4,
WISE 2226+0440,,45,
WISE 2237-0614,,53.5,
WISE 2237+7228,,46,
WISE 2239+1617,,59.7,
WISE 2255-3118,,44.7,
WISE 2301+0216,,60.7,
WISE 2313-8037,,35.9,
WISE 2319-1844,,52.2,
WISE 2325-4105,,37.5,
WISE 2327-2730,,70.8,
WISE 2335+4222,,90.3,
WISE 2340-0745,,37.8,
WISE 2342+0856,,51.2,
WISE 2343-7418,,48.6,
WISE 2344+1034,,46,
WISE 2348-1028,,54.1,
WISE 2357+1227,,54.8,
WISE 2359-7335,,42.7,
WISEA 1101+5400,,111,
2M1510,40 + 39 + ?,120,
name,distance,mass,radius
SDSS J000013.54+255418.6 [de],48,46.1,0.99
2MASS J00040288-6410358,19,192,1.63
LHS 102BC,,,
2MASS J00242463-0158201,79,37.7,1.09
2MASS J00250365+4759191AB,,143,
2MASS J00274197+0503417,31,236,1.44
2MASS J00275592+2219328,,46.9,
2MASSW J0030300-145033,54,87.2,0.98
2MASS J00332386-1521309 [de],29,131,1.43
2MASS J00345157+0523050,42,31,0.94
2MASS 0036+1821,42,28.6,0.94
2MASSW J0045214+163445,23,57,1.62
WISEP J004701.06+680352.1 [fr],12,40,1.3
2MASS J00501994-3322402 [de],40,34,0.94
2MASS J00034227-2822410,,,
2MASS J00584253-0651239 [de],29,96,1.43
CFBDS J005910.90–011401.3,23,30,
2MASSI J0103320+193536,52,70,0.98
SDSSp J010752.33+004156.1 [de],52,51,0.98
2MASSI J0117474-340325 [de],20,163,1.62
2MASS J01415823-4633574 [de],20,130,1.61
SDSS J015141.69+124429.6,47,70,0.97
DENIS-P J020529.0−115925A,,65,
DENIS-P J020529.0−115925B,,65,
DENIS-P J020529.0−115925C,,65,
SDSS J020742.48+000056.2 [de],47,111,0.97
2MASS J02103857-3015313,15,101,1.53
2MASS J02340093-6442068,20,155,1.62
2MASS J02411151-0326587 [de],27,152,1.41
2MASS J02431371−2453298,33,35,0.99
LP 771-21,78,53,1.08
2MASS J02511327+0047364,,,
Teegarden's star,80,12.578,1.27
2MASS J02535980+3206373,65,184,1.9
WISE J0254+0223,65,24,1.9
DEN 0255-4700,80,16.2,0.97
2MASS J03185403-3421292 [de],49,45,0.97
2MASS J03205965+1854233,88,47,1.15
2MASS J03231002-4631237,23,192,1.66
SDSS J032553.17+042540.1,45,59,0.95
2MASS J03264225-2102057 [de],18,80,1.3
2MASS J03284265+2302051 [de],54,98,0.98
2MASS J03341218-4953322,73,27.0,1.04
LP 944-20,73,20.9,1.43
2MASP J0345432+254023,74,88,1.05
Teide 1,55,380,3.78
2MASS J03510004-0052452,102,48,1.27
2MASS J03552337+1133437,20,29.8,1.32
DENIS-P J035726.9-441730 [de],,130,
2MASS J04151954−0935066,30,18.6,0.95
SDSSp J042348.57-041403.5 [de],,50,
2MASS J04285096-2253227 [de],80,85,1.09
2MASS J04351612-1606574,100,34,1.26
2MASS J04362788-4114465,39,142,1.97
2MASS J04390101-2353083 [de],48,29.5,0.97
2MASS J04414489+2301513,19,470,
2MASS J04433764+0002040,22,82,1.78
2MASS J04455387-3048204 [de],64,42,1.00
2MASS J04510093-3402150 [de],1.04,69,72
2MASS J05002100+0330501 [de],64,44,1.00
2MASS J05012406-0010452 [de],21,64,1.38
